ANIO,MES,CONGLOMERADO,VIVIENDA,HOGAR,P601_1,P602_1,P606_1,P608_1,P608_1_O,P601_2,P602_2,P606_2,P608_2,P608_2_O,P602C_2,P601_3A,P602_3A,P606_3A,P608_3A,P608_3A_O,P601_3B,P602_3B,P606_3B,P608_3B,P608_3B_O,P601_4A,P602_4A,P606_4A,P608_4A,P608_4A_O,P601_4B,P602_4B,P606_4B,P608_4B,P608_4B_O,P601_5A,P602_5A,P606_5A,P608_5A,P608_5A_O,P601_5B,P602_5B,P606_5B,P608_5B,P608_5B_O,P601_6A,P602_6A,P606_6A,P608_6A,P608_6A_O,P610E_6A,P601_6B,P602_6B,P606_6B,P608_6B,P608_6B_O,P601_7,P602_7,P606_7,P608_7,P608_7_O,P601_8,P602_8,P606_8,P608_8,P608_8_O,P601_9,P602_9,P606_9,P608_9,P608_9_O,P601_10,P602_10,P606_10,P608_10,P608_10_O,P601_11,P602_11,P606_11,P608_11,P608_11_O,P601_12,P602_12,P606_12,P608_12,P608_12_O,P601_12A,P602_12A,P606_12A,P608_12A,P608_12A_O,P601_13,P601_13_ESPECIF,P602_13,P606_13,P608_13,P608_13_O,P601_14,P602_14,P606_14,P608_14,P608_14_O,P601_15,P601_15_O,P602_15,P606_15,P608_15,P608_15_O,P601_16,P601_16_ESPECIF,P602_16,P606_16,P608_16,P608_16_O,P611_1,P611_2,P611_3,P611_4,P611_5,P611_6,P611_7,P611_8,P611_9,P611_10,P611_11,P611_12,P611_13,P611_14,P611_14_O,P611B,P611D_1,P611D_2,P611D_3,P611D_4,P611D_5,P611D_6,P611D_7,P611D_8,P611D_9,P611D_10,P611D_11,P611D_12,P611D_12_O,P611B_1,P611C,P611D_1_1,P611D_1_2,P611D_1_3,P611D_1_4,P611D_1_5,P611D_1_6,P611D_1_7,P611D_1_8,P611D_1_9,P611D_1_10,P611D_1_11,P611D_1_12,P611D_1_13,P611D_1_14,P611D_1_15,P612_1,P613_1,P613A_1,P612_2,P613_2,P613A_2,P612_3,P613_3,P613A_3,P616A_1,P616A_2,P616A_3,P616A_4,P617A_1,P617A_2,P617A_3,P617A_4,P617A_5,P617A_6,P617A_7,P617A_7_O,P618A_1,P618A_2,P618A_3,P618A_4,P618,P620_1,P620_2,P620_3,P620_4,P621A_1,P621B_1,P621C_1,P621A_2,P621B_2,P621C_2,P621A_3,P621B_3,P621C_3,P621A_4,P621B_4,P621C_4,P621A_5,P621B_5,P621C_5,P621A_6,P621B_6,P621C_6,P621A_7,P621A_7_O,P621B_7,P621C_7,P207,P208_A,ESTRATO
2023.0,9.0,47150.0,5.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,3,3,1,1,2,2,2,2,2,2,2, ,2,0,0,0,1,1,0,0,0,0,0,0,0, ,2,3,3,5,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,2,2, ,1,2, ,2,1,2,2,2,0,1,1,1,0,0,0, ,4,3,3,3,2,4,4,4,4,2, , ,2, , ,1,2020, ,1,2020, ,1,2022,1,1,2022,1,2, , , ,2.0,23.0,5.0
2023.0,9.0,47150.0,5.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,2, ,2,2, ,2,2, ,2,3,3,3,3, , , , , , , , ,2,2,2,2,3,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,1.0,24.0,5.0
2023.0,9.0,47150.0,6.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,2,1,2,2, ,2,0,0,1,1,1,0,0,0,0,0,0,0, ,2,3,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,2,2, ,1,2, ,2,1,1,1,1,1,1,1,0,0,0,0, ,3,3,3,3,2,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,51.0,5.0
2023.0,9.0,47150.0,6.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,1,2,2, ,2,0,1,1,0,0,0,0,0,0,0,0,0, ,2,3,2,5,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,2,2, ,1,2, ,2,1,1,1,1,1,1,1,0,0,0,0, ,3,3,3,3,2,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,19.0,5.0
2023.0,9.0,47150.0,6.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,1,2,2, ,2,0,0,1,0,1,0,0,0,0,0,0,0, ,2,3,2,5,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,2,2, ,1,2, ,2,1,1,1,1,1,0,0,0,0,0,0, ,3,3,3,3,2,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,26.0,5.0
2023.0,9.0,47150.0,6.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,3,3,3,3,1,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,2,5,2,2,3,3,2, ,2,2, ,2,2, ,2,2,2,2,2,1,0,0,0,0,0,0, ,3,3,3,3,2,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,1.0,50.0,5.0
2023.0,9.0,47150.0,7.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,2,1,2,2, ,2,0,0,1,0,1,0,0,0,0,0,0,0, ,2,3,3,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,1,2, ,1,2, ,2,3,3,3,3, , , , , , , , ,2,2,2,2,3,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,1,2013, ,2, , , ,1.0,54.0,5.0
2023.0,9.0,47150.0,7.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,1,2,2, ,2,0,0,1,0,1,0,0,0,0,0,0,0, ,2,3,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,1,1,4, ,2, ,2,3,3,3,3, , , , , , , , ,2,2,2,2,3,4,4,4,1,2, , ,2, , ,1,2022,1,2, , ,2, , ,2, , ,2, , , ,2.0,55.0,5.0
2023.0,9.0,47150.0,8.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,1,2,2, ,2,0,0,1,1,1,0,0,0,0,0,0,0, ,2,3,3,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2, ,1,2, ,2,2, ,2,3,3,3,3, , , , , , , , ,3,3,3,3,2,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,37.0,5.0
2023.0,10.0,1880602.0,1.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,1,1,2, , ,1,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,2,2,1,1,2,2,2,2,1,2,2, ,3, , , , , , , , , , , , , ,2,3,2,3,2,2,2,2,1,1,2,2,5,2,2,2,2,2, ,2,2, ,1,2, ,2,3,2,2,1, , , , , , , , ,3,3,3,2,2,4,4,4,4,1,2021, ,1,2022,2,1,2023,1,1,2022,1,1,2023,1,1,2022,2,2, , , ,2.0,37.0,5.0
2023.0,10.0,1880602.0,1.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,3,3,1,2,2,2,2,2,2,2,2, ,2,1,1,0,0,1,0,0,0,0,0,0,0, ,2,3,3,3,2,5,2,3,2,2,2,2,5,2,2,2,2,2, ,2,2, ,2,2, ,2,2,2,2,2,0,0,1,0,0,0,0, ,3,3,3,3,2,4,4,4,4,1,2018, ,2, , ,1,2018, ,1,2018, ,1,2018, ,1,2018, ,2, , , ,1.0,37.0,5.0
2023.0,10.0,1880602.0,1.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,1,2, , , ,1,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,1,1,1,1,1,2,2,2,2,1,1,2,2, ,3, , , , , , , , , , , , , ,3,4,3,4,3,3,2,2,3,3,3,2,5,2,3,3,3,2, ,2,2, ,2,2, ,2,2,3,2,3,0,0,1,1,0,0,0, ,2,3,3,2,2,4,4,3,4,2, , ,2, , ,1,2022,2,1,2023,1,2, , ,1,2023,1,2, , , ,1.0,17.0,5.0
2023.0,10.0,1880602.0,2.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,1,1,2, , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,2,2,3,2,2,3,5,2,2,5,2,2,2,5,1,2, ,1,2, ,1,2, ,2,2,2,2,0,0,1,1,0,0,0, ,3,2,3,3,2,4,4,4,4,2, , ,2, , ,1,2017, ,2, , ,2, , ,2, , ,2, , , ,2.0,48.0,5.0
2023.0,10.0,1880602.0,2.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,1,1,2, , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,1,1,2,2,2, ,2,0,0,0,0,1,0,0,0,0,0,0,0, ,2,2,3,5,2,3,3,3,3,2,3,2,5,2,3,3,1,2, ,2,2, ,2,2, ,2,2,2,2,2,0,0,1,0,1,0,1,FALTA DE PERSONAL POLICIAL,3,3,3,3,5,4,4,4,4,1,2021, ,1,2022,2,1,2021, ,1,2021, ,1,2022,2,1,2021, ,2, , , ,2.0,19.0,5.0
2023.0,10.0,1880602.0,2.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,1,1,2, , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,1,1,2,1,1,2,1,2,2, ,3, , , , , , , , , , , , , ,2,3,4,5,2,3,3,3,2,2,2,2,5,2,3,3,3,1,2, ,2, ,2,2, ,2,2,2,3,2,1,0,0,0,1,0,1,FALTA DE PERSONAL POLICIAL,4,4,3,3,2,4,4,4,4,1,2020, ,1,2020, ,1,2020, ,1,2019, ,2, , ,1,2022,2,2, , , ,2.0,16.0,5.0
2023.0,10.0,1880602.0,3.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,1,DINERO FALSO,4, , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,3,3,2,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,2,3,2,2,1,5,2,5,5,5,5,2,5,2,2,2,2,2, ,2,2, ,2,2, ,2,2,1,1,1,0,0,0,1,0,0,0, ,3,3,3,3,2,4,4,4,1,1,2017, ,1,2016, ,1,2023,1,2, , ,2, , ,2, , ,2, , , ,2.0,42.0,5.0
2023.0,10.0,1880602.0,3.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,1,2, ,2,0,0,0,0,1,0,0,0,0,0,0,0, ,2,3,2,2,2,5,5,5,5,5,5,2,5,2,2,3,3,2, ,2,2, ,2,2, ,2,2,2,1,1,1,1,0,1,0,0,0, ,4,4,3,4,3,4,4,4,1,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,73.0,5.0
2023.0,10.0,1880602.0,5.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,1,1,1,2,2, ,2,0,0,1,0,1,0,0,0,0,0,0,0, ,2,3,2,3,2,2,2,3,2,2,2,2,5,2,2,2,2,1,1, ,2, ,2,2, ,2,1,2,1,2,1,0,1,0,0,0,0, ,3,3,3,3,2,4,4,4,4,1,2022,2,2, , ,1,2022,2,1,2021, ,2, , ,1,2021, ,2, , , ,2.0,49.0,5.0
2023.0,10.0,1880602.0,5.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,3,3,1,2,2,1,2,1,1,2,2, ,2,1,1,0,0,0,0,0,0,1,0,0,0, ,3,3,2,2,2,2,3,2,2,2,2,1,5,2,2,2,2,2, ,2,2, ,2,2, ,2,2,2,2,2,0,0,0,1,0,0,1,FALTA DE PERSONAL POLICIAL,3,3,3,2,2,4,4,4,4,1,2023,1,2, , ,1,2023,1,1,2023,1,2, , ,1,2023,1,2, , , ,2.0,21.0,5.0
2023.0,10.0,1880602.0,6.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,1,4, ,1,4, ,2, ,2,1,1,1,1,1,0,0,0,0,0,0, ,3,3,3,3,5,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,3, , ,2, , , ,1.0,44.0,5.0
2023.0,10.0,1880602.0,6.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,5,3,3,3,3,3,3,3,3,5,3,3,3,3,2, ,2,2, ,2,2, ,2,3,5,1,1, , , , , , , , ,3,3,3,3,5,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,42.0,5.0
2023.0,10.0,1880602.0,6.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,5,2,3,3,3,5,5,2,2,5,2,2,3,5,3, ,2,3, ,2,3, ,2,3,2,2,2, , , , , , , , ,2,2,2,3,5,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,15.0,5.0
2023.0,10.0,1880602.0,7.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,2,5,2,5,2,2,5,2,5,2,2,2,2,2, ,2,2, ,2,2, ,2,1,2,2,1,1,0,0,0,0,0,1,FALTA DE PERSONAL POLICIAL,3,3,3,3,3,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,1.0,60.0,5.0
2023.0,10.0,1880602.0,7.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,3,3,3,3,1,1,2,2,1,1,1,2,2, ,2,1,1,0,0,1,0,0,0,0,0,0,0, ,2,2,3,5,3,3,3,3,2,2,2,2,5,2,2,2,2,2, ,2,2, ,2,2, ,2,2,2,2,2,0,0,0,0,0,0,1,FALTA DE PERSONAL POLICIAL,3,3,4,3,2,4,4,3,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,2.0,43.0,5.0
2023.0,10.0,1880602.0,7.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,5,3,3,3,3,3,2,3,3,5,3,3,3,2,2, ,2,2, ,2,2, ,2,2,3,3,3,0,0,1,0,1,0,0, ,2,3,3,3,2,4,4,4,4,2, , ,2, , ,1,2023,1,2, , ,2, , ,1,2023,1,2, , , ,1.0,19.0,5.0
2023.0,10.0,1880602.0,7.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,1,1,2,1,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,2,3,4,5,3,3,3,5,5,5,3,2,5,3,3,3,2,2, ,1,2, ,1,2, ,2,2,3,2,2,0,0,0,1,0,0,0, ,3,3,3,2,2,4,4,1,4,1,2019, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,1.0,16.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,1,1,2, ,3, , , , , , , , , , , , , ,2,3,3,3,3,3,3,3,3,3,3,2,5,2,3,2,2,2, ,2,2, ,2,2, ,2,2,2,2,2,0,0,0,0,0,0,1,FALTA DE PERSONAL POLICIAL,3,3,3,3,2,1,4,4,1,2, , ,2, , ,1,2020, ,2, , ,1,2020, ,1,2018, ,2, , , ,1.0,61.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,3,3,3,3,1,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,2,3,3,5,5,5,3,2,5,2,2,5,5,2, ,2,2, ,2,2, ,2,2,2,2,1,1,0,0,0,0,1,0, ,3,3,3,3,5,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,1,2017, ,2, , , ,2.0,52.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,2,1,2,2, ,3, , , , , , , , , , , , , ,3,3,3,3,3,5,3,3,3,3,3,2,5,2,3,3,3,2, ,2,2, ,2,2, ,2,2,1,1,2,0,0,0,0,0,0,1,FALTA DE PERSONAL POLICIAL,3,3,3,2,5,4,4,4,4,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , ,1.0,31.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,1,1,1,2,2,2,2,1,2,2, ,3, , , , , , , , , , , , , ,3,3,4,3,2,3,3,2,3,2,2,2,5,2,2,2,2,2, ,2,2, ,2,2, ,2,3,2,3,3, , , , , , , , ,3,4,3,3,2,4,4,1,1,2, , ,2, , ,1,2021, ,1,2017, ,2, , ,1,2019, ,2, , , ,1.0,24.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,2,2,2,2,2,2,2,2, ,3, , , , , , , , , , , , , ,3,3,3,5,3,3,3,3,3,3,3,2,5,2,3,3,3,2, ,2,2, ,1,2, ,2,2,3,2,2,0,0,0,0,1,0,0, ,2,2,2,2,3,4,4,4,4,2, , ,2, , ,1,2023,1,1,2023,1,2, , ,2, , ,2, , , ,2.0,22.0,5.0
2023.0,10.0,1880602.0,8.0,1.0,2, , , , ,2, , , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,4, , , , , , , , , , , , , ,4,4,4,5,3,3,3,3,3,3,3,2,5,2,2,3,3,2, ,2,2, ,2,2, ,2,2,1,2,2,0,0,0,0,1,0,0, ,3,3,3,2,2,4,4,4,4,2, , ,2, , ,1,2023,1,1,2023,1,2, , ,2, , ,2, , , ,1.0,19.0,5.0
2023.0,10.0,1880602.0,9.0,1.0,3, , , , ,3, , , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,3, , , , ,2, , , , ,2,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , ,2, , , , , ,2, , , , ,2, , , , , ,2, , , , , ,1,2,2,2,2,1,1,2,2,2,1,2,1,2, ,2,1,1,0,0,0,0,0,0,0,1,0,0, ,2,3,3,3,3,3,3,2,2,2,2,2,5,2,3,2,2,2, ,2,1,1, ,2, ,2,2,1,1,1,0,0,0,0,1,0,1,FALTA DE PERSONAL POLICIAL,4,4,4,3,1,4,4,4,1,1,2019, ,1,2019, ,1,2019, ,1,2019, ,2, , ,2, , ,2, , , ,1.0,42.0,5.0
